iter	Passed	Remaining
0	138	137906
1	138	69125
2	139	46196
3	139	34729
4	139	27851
5	140	23262
6	140	19985
7	141	17534
8	141	15623
9	142	14095
10	142	12842
11	143	11803
12	143	10925
13	144	10168
14	144	9514
15	145	8942
16	145	8435
17	146	7985
18	146	7584
19	147	7224
20	147	6896
21	148	6598
22	148	6327
23	149	6077
24	149	5847
25	150	5637
26	150	5439
27	151	5257
28	151	5084
29	152	4926
30	152	4778
31	153	4639
32	153	4508
33	154	4385
34	154	4269
35	155	4160
36	155	4058
37	156	3960
38	156	3867
39	157	3778
40	157	3694
41	158	3614
42	158	3537
43	159	3464
44	159	3394
45	160	3327
46	160	3263
47	161	3202
48	161	3142
49	162	3085
50	162	3032
51	163	2979
52	163	2929
53	164	2880
54	165	2835
55	165	2790
56	166	2746
57	166	2704
58	167	2664
59	167	2624
60	168	2586
61	168	2549
62	169	2513
63	169	2479
64	170	2446
65	170	2413
66	171	2382
67	171	2351
68	172	2321
69	172	2292
70	173	2264
71	173	2233
72	173	2206
73	174	2180
74	174	2155
75	175	2130
76	175	2107
77	176	2083
78	176	2060
79	177	2038
80	177	2017
81	178	1996
82	178	1975
83	179	1955
84	179	1936
85	180	1917
86	180	1898
87	181	1880
88	181	1862
89	182	1845
90	182	1827
91	183	1811
92	183	1794
93	184	1777
94	184	1761
95	185	1746
96	185	1731
97	186	1716
98	186	1701
99	187	1687
100	187	1672
101	188	1659
102	188	1645
103	189	1629
104	189	1616
105	190	1603
106	190	1591
107	191	1578
108	191	1566
109	192	1554
110	192	1543
111	193	1531
112	193	1520
113	194	1509
114	194	1499
115	195	1488
116	195	1478
117	196	1467
118	196	1457
119	197	1447
120	197	1437
121	198	1426
122	198	1416
123	199	1407
124	199	1398
125	200	1388
126	200	1379
127	201	1371
128	201	1362
129	202	1353
130	202	1345
131	203	1336
132	203	1328
133	204	1320
134	204	1311
135	205	1303
136	205	1296
137	206	1288
138	206	1280
139	207	1272
140	207	1266
141	208	1261
142	209	1255
143	210	1248
144	210	1242
145	211	1236
146	211	1229
147	212	1223
148	213	1217
149	213	1211
150	214	1204
151	214	1198
152	215	1192
153	215	1185
154	216	1179
155	216	1173
156	217	1166
157	217	1160
158	218	1154
159	218	1148
160	219	1142
161	219	1136
162	220	1131
163	220	1125
164	221	1119
165	221	1114
166	222	1109
167	222	1103
168	223	1098
169	223	1092
170	224	1087
171	224	1082
172	225	1077
173	225	1072
174	226	1067
175	226	1062
176	227	1057
177	227	1051
178	228	1046
179	228	1041
180	229	1037
181	229	1032
182	230	1027
183	230	1023
184	231	1018
185	231	1014
186	232	1010
187	232	1006
188	233	1001
189	233	997
190	234	993
191	234	988
192	235	984
193	236	980
194	236	976
195	237	972
196	237	968
197	237	963
198	238	959
199	238	955
200	239	951
201	240	948
202	240	944
203	241	940
204	241	936
205	242	932
206	242	928
207	242	925
208	243	921
209	244	917
210	244	914
211	245	910
212	245	907
213	245	903
214	246	899
215	246	896
216	247	892
217	247	889
218	248	886
219	248	882
220	249	879
221	249	875
222	250	872
223	251	869
224	251	866
225	252	863
226	252	859
227	252	856
228	253	853
229	253	850
230	254	847
231	254	843
232	255	840
233	255	837
234	256	834
235	256	831
236	257	828
237	257	825
238	258	822
239	258	820
240	259	817
241	259	814
242	260	811
243	260	808
244	261	805
245	261	802
246	262	800
247	262	797
248	263	794
249	263	791
250	264	789
251	265	786
252	265	783
253	265	781
254	266	778
255	266	775
256	267	773
257	267	770
258	268	768
259	268	765
260	269	762
261	269	760
262	270	757
263	270	755
264	271	752
265	271	750
266	272	747
267	272	745
268	273	743
269	273	740
270	274	738
271	274	735
272	275	733
273	275	731
274	276	728
275	276	726
276	277	724
277	277	721
278	278	719
279	278	717
280	279	715
281	279	712
282	280	710
283	280	708
284	281	706
285	281	703
286	282	701
287	282	699
288	283	697
289	283	695
290	284	693
291	284	690
292	285	688
293	285	686
294	286	684
295	286	682
296	287	680
297	287	678
298	288	676
299	288	674
300	289	672
301	289	670
302	290	668
303	290	666
304	291	664
305	291	662
306	292	660
307	293	658
308	293	656
309	294	654
310	294	652
311	295	650
312	295	648
313	295	646
314	296	644
315	296	642
316	297	640
317	297	639
318	298	637
319	298	635
320	299	633
321	299	631
322	300	629
323	300	628
324	301	626
325	301	624
326	302	622
327	302	620
328	303	618
329	304	617
330	304	615
331	304	613
332	305	611
333	305	610
334	306	608
335	307	607
336	307	605
337	308	604
338	309	603
339	310	602
340	310	600
341	311	599
342	312	597
343	312	596
344	313	594
345	313	592
346	314	591
347	314	589
348	315	588
349	315	586
350	316	584
351	316	583
352	317	581
353	317	580
354	318	578
355	318	576
356	319	575
357	319	573
358	320	572
359	321	570
360	321	569
361	322	567
362	322	566
363	323	564
364	323	563
365	324	561
366	324	559
367	325	558
368	325	556
369	326	555
370	326	553
371	327	552
372	327	550
373	328	549
374	328	547
375	329	546
376	329	544
377	330	543
378	330	541
379	331	540
380	331	538
381	332	537
382	332	535
383	333	534
384	333	532
385	334	531
386	334	529
387	335	528
388	335	527
389	336	525
390	336	524
391	337	523
392	337	521
393	338	520
394	338	518
395	339	517
396	339	516
397	340	514
398	340	513
399	341	511
400	341	510
401	342	509
402	342	507
403	343	506
404	343	505
405	344	503
406	344	502
407	345	501
408	345	499
409	346	498
410	346	497
411	347	495
412	347	494
413	348	493
414	348	491
415	349	490
416	349	489
417	350	488
418	351	486
419	351	485
420	351	484
421	352	482
422	352	481
423	353	480
424	353	478
425	354	477
426	355	476
427	355	475
428	356	473
429	356	472
430	357	471
431	357	470
432	358	468
433	358	467
434	358	466
435	359	464
436	359	463
437	360	462
438	360	461
439	361	460
440	361	458
441	362	457
442	362	456
443	363	455
444	364	453
445	364	452
446	365	451
447	365	450
448	366	449
449	366	448
450	367	446
451	367	445
452	368	444
453	368	443
454	369	442
